t,thermal,batt,cur0,cur6,engine_pcpu,engine_rss_kb,memavail_kb,swapfree_kb
980,1,403,806400,806400,0.0,3.7M,5689816,10290440,
985,1,403,1036800,806400,0.0,3.9M,5686196,10290440,
990,1,403,1747200,806400,0.0,3.6M,5689924,10290440,
995,1,403,806400,806400,0.0,3.8M,5718936,10290440,
1000,1,403,806400,806400,0.0,3.7M,5726432,10290696,
1005,1,403,1651200,806400,0.0,3.7M,5725980,10290952,
1010,1,403,806400,806400,0.0,3.7M,5722632,10290952,
1015,1,403,806400,806400,0.0,3.7M,5718100,10291228,
1020,1,391,806400,806400,0.0,3.6M,5705596,10291484,
1025,1,391,1036800,806400,0.0,3.6M,5691432,10291484,
1030,1,391,806400,806400,0.0,3.7M,5754220,10294044,
1035,1,391,806400,806400,0.0,3.6M,5784348,10324600,
1040,1,391,806400,806400,0.0,3.7M,5789872,10326328,
1045,1,391,806400,806400,0.0,3.5M,5819224,10311244,
1050,1,391,806400,806400,0.0,3.7M,5832732,10311264,
1055,1,391,806400,806400,0.0,3.7M,5842324,10311264,
1060,1,391,806400,806400,0.0,3.6M,5851452,10311264,
1065,1,391,806400,806400,0.0,3.6M,5849304,10312032,
1070,1,391,806400,806400,0.0,3.7M,5668752,10327740,
1075,1,391,806400,806400,0.0,3.6M,5662972,10327740,
1080,1,391,691200,806400,0.0,3.7M,5717320,10328012,
1085,1,391,806400,806400,0.0,3.7M,5713244,10328012,
1090,1,391,806400,806400,0.0,3.8M,5708144,10328012,
1095,1,391,1747200,806400,0.0,3.5M,5692920,10328012,
1100,1,391,1747200,806400,0.0,3.7M,5678568,10328012,
1105,1,391,1401600,806400,0.0,3.6M,5678024,10319052,
1110,1,391,806400,806400,0.0,3.6M,5683768,10319052,
1115,1,384,806400,806400,0.0,3.6M,5669896,10319052,
1120,1,384,1747200,806400,0.0,3.6M,5659284,10319052,
1125,1,384,1747200,806400,0.0,3.3M,5653724,10319052,
1130,1,384,806400,806400,0.0,3.7M,5643084,10319084,
1135,1,384,1651200,806400,0.0,3.6M,5650200,10319108,
1140,1,384,806400,806400,0.0,3.7M,5661676,10312196,
1145,1,384,1747200,806400,0.0,3.5M,5664848,10312196,
1150,1,384,902400,806400,0.0,3.7M,5664824,10312972,
1155,1,384,806400,806400,0.0,3.5M,5662380,10312972,
1160,1,384,1651200,806400,0.0,3.7M,5668556,10312972,
1165,1,384,1747200,806400,0.0,3.5M,5659184,10318116,
1170,1,384,1651200,806400,0.0,3.4M,5655744,10318116,
1175,1,384,806400,806400,0.0,3.8M,5655532,10318116,
1180,1,384,1747200,806400,0.0,3.7M,5656792,10318116,
1185,1,384,806400,806400,0.0,3.7M,5728204,10318372,
1190,1,384,806400,806400,0.0,3.6M,5743596,10319140,
1195,1,384,806400,806400,0.0,3.5M,5756800,10319140,
1200,1,384,806400,806400,0.0,3.7M,5770864,10321228,
